90001,Customer#000090001,T59DTIyzGQYZG21,20,30-267-569-7363,7089.84,FURNITURE,"as wake carefully above the pending accounts-- bold, bold accounts nag slyly "
90002,Customer#000090002,vaR91FeSJ0OQCEi37vtLF1MkfslBmmlj4I83,22,32-416-979-2773,4915.11,AUTOMOBILE,"s. busily regular instructions within the carefully busy accounts boost furiously among the regular, f"
90003,Customer#000090003,fz7bURBOGmRmqY93gzku,12,22-471-572-2953,7236.41,BUILDING,cing deposits. carefully special pinto beans to the deposits wake furiously express dependencies. f
90004,Customer#000090004,"v2vcCI 2G,txNL,U2IzAcdfa3wde",1,11-277-187-4316,4465.99,BUILDING, cajole. carefully final pinto beans sleep blithely on the quickly ironic 
90005,Customer#000090005,d1gR17VCDdXsb8CztrSkyRDcDUE7Xe6j8ZdJ,11,21-782-963-7931,4970.25,FURNITURE,ut the quickly even ideas. carefully regular accounts are furiously u
90006,Customer#000090006,YqAf Wc6HTZaGg4Wx9URZRDQ,18,28-634-772-8309,9950.47,AUTOMOBILE,"ole along the regular instructions. fluffily bold accounts cajole blithely escapades. silent, bold accounts h"
90007,Customer#000090007,"Rk,j36MRqR",22,32-119-106-9863,2677.5,BUILDING,"ies at the regular, regular dependencies run blithely"
90008,Customer#000090008, JewtSAyWV844UEewkq8vanZS,9,19-862-494-6719,8642.26,AUTOMOBILE,ng the fluffily special deposits. fluffily pending packages w
90009,Customer#000090009,vi4MA5lhtTi1PM,10,20-778-405-8774,4482.23,BUILDING,ar grouches do nag furiously. furiously unusual braids boost regular
90010,Customer#000090010,"zRy4BQDvsOzsqT,NCXDSlFN7ydL69HUUpc",3,13-952-573-7702,2783.54,BUILDING,"furiously unusual foxes. final,"
